Naam,Afkorting,Straat,Postcode,Plaats,Bezoekadres straat,Bezoekadres postcode,Bezoekadres plaats,Telefoon,E-mail,Internetsite,Grondslag,Link wettenbank,Instellingsmotief,Relatie met ministerie,Taken & bevoegdheden,Kaderwet van toepassing,Afwijkende bepalingen artikel,Afwijkende bepalingen,Jaar van oprichting,Aantekening,Personeelsomvang FTE,Personeelsomvang toelichting,Geldende CAO,Aangesloten bij pensioenfonds,Datum laatste evaluatieverslag,Kamerstuknummer laatste evaluatieverslag,Deeltijd,Rechtsvorm,Type ZBO,Mutatiedatum
FGzPt / Registratiecommissie voor gezondheidszorgpsychologen en psychotherapeuten,FGzPt,Postbus 2713,3500 GS,Utrecht,Arthur van Schendelstraat 650,3511 MJ,Utrecht,085 3035300,info@fgzpt.nl,http://www.fgzpt.nl/,"Wet beroepen in de individuele gezondheidszorg (Wet BIG), art. 14 en 15",[Wet beroepen in de individuele gezondheidszorg](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20de%20beroepen%20in%20de%20individuele%20gezondheidszorg/article=14),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)","* Indien een organisatie van beoefenaren van een beroep als bedoeld in artikel 3 van de hierboven genoemde Wet beroepen in de individuele gezondheidszorg (Wet BIG), voor de inschrijving van beroepsbeoefenaren die een bijzondere deskundigheid hebben verworven met betrekking tot de uitoefening van een deelgebied van hun beroep, een specialistenregister heeft en daaraan een titel is verbonden, kan de Minister van Volksgezondheid, Welzijn en Sport bepalen dat die titel als wettelijk erkende specialistentitel wordt aangemerkt. Een aanvraag daartoe wordt gedaan door het bestuur van de organisatie; het bestuur kan de bevoegdheid daartoe overdragen aan een orgaan. Deze organen zijn zbo s die onderdeel zijn van dit cluster. 
 
 * In het kort: 
 
 * de inschrijving van specialisten, 
 
 * Het doorhalen van de inschrijving van specialisten, 
 
 * Het schorsen van de inschrijving van specialisten",Ja,"22,23",Artikel 22 van de Kaderwet ZBO is niet van toepassing voor zover het besluiten betreft ter zake van de inschrijving,2014,"Deze zbo is onderdeel van het cluster Registratiecommissies KNMG, KNMP, KNMT, FGzPt en VenVN. Het betreft hier de registratie commissie van beroeps organisatie Federatie van Gezondheidspsychologen en Psychotherapeuten (FGzPt.)",,,,,,,onbekend,Privaatrechtelijk - Stichting,Onderdeel van een cluster,15/08/16
Fonds Podiumkunsten,,Postbus 85974,2508 CR,Den Haag,Koningin Julianaplein 10,2595 AA,Den Haag,070 7072700,info@fondspodiumkunsten.nl,http://www.fondspodiumkunsten.nl,"Wet op het specifiek cultuurbeleid, Staatsblad 1993, 193, arikel 9",[Wet op het specifiek cultuurbeleid](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20op%20het%20specifiek%20cultuurbeleid/article=9),,"Ministerie van Onderwijs, Cultuur en Wetenschap (OCW)","Het verlenen van subsidies aan kunstenaars en instellingen voor activiteiten die zijn gericht op het scheppen, produceren, presenteren en afnemen van podiumkunsten.",Ja,22,"Zover het een besluit betreft die het bestuur van een fonds neemt ter uitvoering van de in art. 9, eerste lid, van de wet op het specifiek cultuurbeleid bedoelde taak.",2007,,43,-2014,Eigen CAO,PFZW,,,onbekend,Privaatrechtelijk - Stichting,Afzonderlijke ZBO,26/08/16
Gerechtsdeurwaarders,,,,,,,,,,,Gerechtsdeurwaarderswet,[Gerechtsdeurwaarderswet](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=GERECHTSDEURWAARDERSWET),,Ministerie van Veiligheid en Justitie (VenJ),"Als openbaar ambtenaar voert de gerechtsdeurwaarder taken uit die bij wet aan hem toegewezen zijn. Zulke wettelijke taken zijn bijvoorbeeld: het dagvaarden van personen of bedrijven voor de rechter, het opmaken van akten, het betekenen van juridische stukken en het ten uitvoer leggen van vonnissen en andere zgn. executoriale titels.",Nee,,,1934,"Opnieuw ingesteld in 2001.
 
 
 
 Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.",,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,21/09/15
Grondkamer Noord,,Postbus 40111,8004 DC,Zwolle,,,,088 0424242,Via de website kunt u contact opnemen met deze organisatie.,http://www.grondkamers.nl/,"Uitvoeringswet grondkamers, artikel 1",[Uitvoeringswet grondkamers](http://wetten.overheid.nl/BWBR0021912),,Ministerie van Economische Zaken (EZ),"* Bevorderen van goede pachtverhoudingen in Nederland; 
 
 * toetsen van de inhoud van pachtovereenkomsten aan de dwingend rechtelijke bepalingen van Titel 7.5 Burgerlijk Wetboek (pacht);
 
 * prijstoetsing;
 
 * toetsen van overeenkomsten van korte duur, bepaling verpachte waarde.
 
 * Grondkamer Noord is verantwoordelijk voor provincies Friesland,Groningen en Drenthe",Ja,"12,14,21,22",,1958,Deze organisatie is onderdeel van het cluster Grondkamers.,"21,89",(2014) Dit is inclusief het secretariaat voor het gehele cluster Grondkamers bij RVO.,CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Onderdeel van een cluster,15/08/16
Grondkamer Noordwest,,Postbus 40111,8004 DC,Zwolle,,,,088 0424242,Via de website kunt u contact opnemen met deze organisatie.,http://www.grondkamers.nl/,"Uitvoeringswet grondkamers, artikel 1",[Uitvoeringswet grondkamers](http://wetten.overheid.nl/BWBR0021912),,Ministerie van Economische Zaken (EZ),"* Bevorderen van goede pachtverhoudingen in Nederland; 
 
 * toetsen van de inhoud van pachtovereenkomsten aan de dwingend rechtelijke bepalingen van Titel 7.5 Burgerlijk Wetboek (pacht);
 
 * prijstoetsing;
 
 * toetsen van overeenkomsten van korte duur, bepaling verpachte waarde.
 
 * Grondkamer Noordwest is verantwoordelijk voor provincies Noord-Holland,Flevoland en Utrecht",Ja,"12,14,21,22",,1958,Deze organisatie is onderdeel van het cluster Grondkamers.,"21,89",(2014) Dit is inclusief het secretariaat het gehele cluster Grondkamers bij RVO.,CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Onderdeel van een cluster,15/08/16
Grondkamer Oost,,Postbus 40111,8004 DC,Zwolle,,,,088 0424242,Via de website kunt u contact opnemen met deze organisatie.,http://www.grondkamers.nl/,"Uitvoeringswet grondkamers, artikel 1",[Uitvoeringswet grondkamers](http://wetten.overheid.nl/BWBR0021912),,Ministerie van Economische Zaken (EZ),"* Bevorderen van goede pachtverhoudingen in Nederland; 
 
 * toetsen van de inhoud van pachtovereenkomsten aan de dwingend rechtelijke bepalingen van Titel 7.5 Burgerlijk Wetboek (pacht);
 
 * prijstoetsing;
 
 * toetsen van overeenkomsten van korte duur, bepaling verpachte waarde.
 
 * Grondkamer Oost is verantwoordelijk voor provincies Overijssel en Gelderland",Ja,"12,14,21,22",,1958,Deze organisatie is onderdeel van het cluster Grondkamers.,"21,89",(2014) Dit is inclusief het secretariaat voor het gehele cluster Grondkamers bij RVO.,CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Onderdeel van een cluster,15/08/16
Grondkamers,,Postbus 40111,8004 DC,Zwolle,,,,088 0424242,Via de website kunt u contact opnemen met deze organisatie.,http://www.grondkamers.nl/,"Uitvoeringswet grondkamers, artikel 1",[Uitvoeringswet grondkamers](http://wetten.overheid.nl/BWBR0021912),,Ministerie van Economische Zaken (EZ),"* Bevorderen van goede pachtverhoudingen in Nederland; 
 
 * toetsen van de inhoud van pachtovereenkomsten aan de dwingend rechtelijke bepalingen van Titel 7.5 Burgerlijk Wetboek (pacht);
 
 * prijstoetsing;
 
 * toetsen van overeenkomsten van korte duur, bepaling verpachte waarde.",Ja,"12,14,21,22",,1958,,"21,89",(2014) Dit is inclusief het secretariaat Grondkamers bij RVO.,CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Cluster van ZBO's,16/08/16
Grondkamer Zuid,,Postbus 40111,8004 DC,Zwolle,,,,088 0424242,Via de website kunt u contact opnemen met deze organisatie.,http://www.grondkamers.nl/,"Uitvoeringswet grondkamers, artikel 1",[Uitvoeringswet grondkamers](http://wetten.overheid.nl/BWBR0021912),,Ministerie van Economische Zaken (EZ),"* Bevorderen van goede pachtverhoudingen in Nederland; 
 
 * toetsen van de inhoud van pachtovereenkomsten aan de dwingend rechtelijke bepalingen van Titel 7.5 Burgerlijk Wetboek (pacht);
 
 * prijstoetsing;
 
 * toetsen van overeenkomsten van korte duur, bepaling verpachte waarde.
 
 * Grondkamer Zuid is verantwoordelijk voor provincies Noord-Brabant en Limburg",Ja,"12,14,21,22",,1958,Deze organisatie is onderdeel van het cluster Grondkamers.,"21,89",(2014) Dit is inclusief het secretariaat voor het gehele cluster Grondkamers bij RVO.,CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Onderdeel van een cluster,15/08/16
Grondkamer Zuidwest,,Postbus 40111,8004 DC,Zwolle,,,,088 0424242,Via de website kunt u contact opnemen met deze organisatie.,http://www.grondkamers.nl/,"Uitvoeringswet grondkamers, artikel 1",[Uitvoeringswet grondkamers](http://wetten.overheid.nl/BWBR0021912),,Ministerie van Economische Zaken (EZ),"* Bevorderen van goede pachtverhoudingen in Nederland; 
 
 * toetsen van de inhoud van pachtovereenkomsten aan de dwingend rechtelijke bepalingen van Titel 7.5 Burgerlijk Wetboek (pacht);
 
 * prijstoetsing;
 
 * toetsen van overeenkomsten van korte duur, bepaling verpachte waarde.
 
 * Grondkamer Zuidwest is verantwoordelijk voor provincies Zuid-Holland en Zeeland",Ja,"12,14,21,22",,1958,Deze organisatie is onderdeel van het cluster Grondkamers.,"21,89",(2014) Dit is inclusief het secretariaat voor het gehele cluster Grondkamers bij RVO.,CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Onderdeel van een cluster,15/08/16
Havenbeheerders,,,,,,,,,,,"Wet voorkoming verontreiniging door schepen, Stb. 1983, 683",[Wet voorkoming verontreiniging door schepen](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20voorkoming%20verontreiniging%20door%20schepen),,Ministerie van Infrastructuur en Milieu (IenM),"* De beheerder van een aangewezen haven draagt zorg voor een toereikende voorziening voor het in ontvangst nemen van scheepsafval en overige schadelijke stoffen afkomstig van schepen. Deze taak kan worden uitgevoerd door een zogenoemde houder van een havenontvangstvoorziening.
 
 * Daarnaast kan de havenbeheerder op grond van de Wet havenstaatscontrole de toegang van een schip, dat op een zogenoemde zwarte of grijze lijst staat, tot zijn haven weigeren.",Nee,,,1983,Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.,,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,01/10/15
Huis voor klokkenluiders,,Postbus 10088,3505 AB,Utrecht,Maliebaan 72,3581 CV,Utrecht,"088 "" 371 30 30",info@huisvoorklokkenluiders.nl,https://huisvoorklokkenluiders.nl/,Wet Huis voor klokkenluiders artikel 3,[Wet Huis voor klokkenluiders](http://wetten.overheid.nl/BWBR0037852/),Onafhankelijkheid,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (BZK),"Het Huis voor klokkenluiders is er voor mensen die een werkgerelateerde misstand willen melden. Binnen de overheid en het bedrijfsleven. Dit kunnen werknemers in loondienst zijn, maar ook ex-werknemers, zzp ers, uitzendkrachten en vrijwilligers. Het Huis adviseert, ondersteunt en doet onderzoek als dat nodig is. Ook geeft het Huis voorlichting over klokkenluiden en integriteit aan werknemers en werkgevers. De dienstverlening van het Huis is vertrouwelijk, onafhankelijk en gratis. Het Huis wil zo bijdragen aan het beëindigen van misstanden.",Ja,"12,20,21,22,23,","In afwijking van artikel 20 van de Kaderwet zelfstandige bestuursorganen is het Huis slechts verplicht aan Onze Minister inlichtingen te verstrekken of inzage te geven in zakelijke gegevens en bescheiden met betrekking tot het gevoerde financiële beheer en de administratieve organisatie, Artikel 23 van de Kaderwet zelfstandige bestuursorganen vindt slechts toepassing ten aanzien van het door het Huis gevoerde financiële beheer en de administratieve organisatie.",2016,,,,CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,31/08/16
Huurcommissie,,Postbus 16495,2500 BL,Den Haag,Turfmarkt 104,2511 DC,Den Haag,0800 4887243,Via de website kunt u contact opnemen met deze organisatie.,http://www.huurcommissie.nl,Uitvoeringswet huurprijzen woonruimteverankerd in bepalingen in het Burgerlijk Wetboek artikel 7:249-265 (boek 7),[Uitvoeringswet huurprijzen woonruimte](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=uitvoeringswet%20huurprijzen%20woonruimte),,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (BZK),"* Het doen van een uitspaak over de redelijkheid van de overeengekomen aanvangshuur of de voorgestelde verhoging, danwel verlaging, van de huurprijs;
 
 * uitspraak doen over de verhoging van de huurprijs na de totstandkoming van voorzieningen, veranderingen of toevoegingen;
 
 * uitspraak doen over de in rekening te brengen huurprijs bij vermindering van het woongenot als gevolg van een gebrek of over de redelijkheid van een gebruikersvergoeding;
 
 * het desgevraagd aan de rechter verstrekken van nadere inlichtingen over een door haar gedane uitspraak;
 
 * het desgevraagd verstrekken van een verklaring aan de Minister voor Wonen en Rijksdienst en publiekrechtelijke lichamen over de aan een woonruimte toe te kennen kwaliteit, de gebreken of tekortkomingen in het onderhoud en een voor de woonruimte redelijk te achten huurprijs;
 
 * het desgevraagd aan de minister verstrekken van gegevens die nodig zijn in het kader van het te voeren volkshuisvestingsbeleid;
 
 * het verstrekken van een verklaring omtrent de redelijkheid van de huurprijs en de juistheid van gegevens.",Ja,20,,1979,,2,bestuursleden. 7 zittingsvoorzitters. 54 zittingsleden op afroep (2014-12-31),CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,15/08/16
Instituut Fysieke Veiligheid,IFV,Postbus 7010,6801 HA,Arnhem,Kemperbergerweg 783,6816 RW,Arnhem,026 3552400,info@ifv.nl,http://www.ifv.nl/,"Wet veiligheidsregio's, artikel 66, eerste lid.",[Wet veiligheidsregio's](http://wetten.overheid.nl/BWBR0027466/),,Ministerie van Veiligheid en Justitie (VenJ),"* Het ontwikkelen van lesstof, oefenstof en leerstof voor, en het verzorgen van officiersopleidingen alsmede het verzorgen van andere door de minister van Veiligheid en Justitie aan te wijzen opleidingen die met een rijksexamen als bedoeld in artikel 18, vierde lid, van de Wet veligheidsregio's worden afgesloten en het ontwikkelen van lesstof, oefenstof en leerstof hiervoor;
 
 * het ontwikkelen en in stand houden van expertise door middel van het verzamelen en beheren van relevante kennis en zo nodig door het verrichten van toegepast wetenschappelijk onderzoek;
 
 * het ter beschikking stellen van de verzamelde informatie en expertise aan organisaties die werkzaam zijn op het gebied van de brandweerzorg, de rampenbestrijding, de crisisbeheersing en de geneeskundige hulpverlening;
 
 * het verwerven, beheren en aan de veiligheidsregio's en aan de gemeenten met een gemeentelijke brandweer zo nodig ter beschikking stellen van materieel, uitrusting en telecommunicatievoorzieningen;
 
 * andere werkzaamheden op het gebied van de brandweerzorg, de rampenbestrijding, de crisisbeheersing en de geneeskundige hulpverlening, voor zover het betreft het ontwikkelen van lesstof, oefenstof en leerstof voor, en het verzorgen van andere dan de hierboven bedoelde opleidingen, het werven en selecteren van kandidaten voor de voornoemde opleidingen; het organiseren van oefeningen, het verrichten van andere activiteiten die de deskundigheid van personen op de in de aanhef genoemde gebieden of het functioneren van de organisaties waarvoor zij werkzaam zijn, bevorderen en het verrichten van onderzoek voor en adviseren van derden teneinde direct of indirect een bijdrage te leveren aan de fysieke veiligheid.",Nee,,,2013,,,,,,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,26/10/15
Kamer van Koophandel,KvK,Postbus 48,3500 AA,Utrecht,Sint Jacobsstraat 300,3511 BT,Utrecht,088 5851585,Via de website kunt u contact opnemen met deze organisatie.,http://www.kvk.nl/,"Wet van 25 november 2013, houdende regels ontrent de kamer van koophandel (Wet op de Kamer van Koophandel, Stb. 2013, 507)",[Wet op de Kamer van Koophandel](http://wetten.overheid.nl/BWBR0034331/),,Ministerie van Economische Zaken (EZ),Het stimuleren van economische ontwikkeling door middel van het informeren en ondersteunen op het gebied van ondernemen en innovatie van personen die een onderneming drijven of overwegen een onderneming op te richten.,Ja,,,1921,,1.383,(2015-01-01),"CAO Rijk, met uitzondering",ABP,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,15/08/16
Kamer voor de Binnenvisserij,,Postbus 363,7400 AJ,Deventer,Verzetslaan 30,7411 HX,Deventer,0570 669931,Niet beschikbaar,Niet beschikbaar,Visserijwet 1963,[Visserijwet 1963](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=VISSERIJWET%201963),,Ministerie van Economische Zaken (EZ),Toetsen van overeenkomsten van huur- en verhuur van visrechten en het verlenen van toestemming tot vergunninguitgifte met het oog op een doelmatige bevissing van binnenwateren.,Nee,,,1954,De Kamer voor Binnenvisserij is ondergebracht bij een andere organisatie. Vraag bij telefonisch contact om doorverbonden te worden.,,,,,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,26/10/15
Kansspelautoriteit,Ksa,Postbus 298,2501 CG,Den Haag,Rijnstraat 50,2515 XP,Den Haag,070 3021300,info@kansspelautoriteit.nl,http://www.kansspelautoriteit.nl,Artikel 33 van de Wet op de kansspelen,[Wet op de kansspelen](http://wetten.overheid.nl/BWBR0002469/),,Ministerie van Veiligheid en Justitie (VenJ),"* De raad van bestuur heeft, tenzij bij of krachtens de wet anders is bepaald, tot taak het verstrekken, wijzigen en intrekken van vergunningen voor de diverse vormen van kansspelen, exploitatievergunningen en modeltoelatingen voor speelautomaten,
 
 * het bevorderen van het voorkomen en het beperken van kansspelverslaving, 
 
 * het geven van voorlichting en informatie, 
 
 * het toezicht op de naleving van de toepasselijke wet- en regelgeving en de vergunningen, 
 
 * alsmede de handhaving daarvan.",Ja,,,2012,,"67,8",-2014,CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Eigen rechtspersoonlijkheid,Afzonderlijke ZBO,15/08/16
Keuringsinstanties als bedoeld in artikel 10.3 Telecommunicatiewet,,,,,,,,,,,"Telecommunicatiewet, art 10.3 , Stb. 1998 nr.610 Besluit elektromagnetische compabiliteit 2007 art. 17, Stb. 2007 nr.19 Besluit Randapparaten en radio apparaten 2007 art. 11, Stb. 2007 nr. 20",[Telecommunicatiewet](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=TELECOMMUNICATIEWET),,Ministerie van Economische Zaken (EZ),"Het afgeven van rapporten, certificaten of EG-typeverklaringen voor radio- en randapparatuur en voor elektromagnetische compabiliteit.",Nee,,,1995,"T.a.v. privaatrechtelijke deeltijd keuringsinstanties is besloten dat deze niet noodzakelijk onder de Kaderwet ZBO hoeven te worden gebracht. Zie meer hierover: Kamerstukken TK 2007/08. 25 268, nr. 53 (brief van de Minister van Economische Zaken).
 
 
 
 Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.",,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,14/08/15
Keuringsinstanties bouwproducten,,,,,,,,,,,"Op grond van een Europese richtlijn wijst de minister organisaties aan als keuringsinstellingen, die certificerende taken uitvoeren.Deze instanties moeten daarom als een zbo worden beschouwd, want zij zijn bekleed met openbaar gezag.",,,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (BZK),Het optreden als onafhankelijke keurende instantie voor de CE-markering van bouwproducten of voor bouwproducten waarvoor een geharmoniseerde norm beschikbaar is.,Nee,,,2004,Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.,,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,21/09/15
Keuringsinstanties geluidshinder,,,,,,,,,,,"* Wet milieubeheer (Wm)
 
 * Richtlijn 2000/14/EG.
 
 * Regeling geluidemissie buitenmaterieel.","</br>[Wet milieubeheer (wm)](http://wetten.overheid.nl/BWBR0003245/)
 </br>[Regeling geluidemissie buitenmaterieel](http://wetten.overheid.nl/BWBR0012766/)
 </br>[Richtlijn 2000/14/EG.](http://eur-lex.europa.eu/legal-content/NL/ALL/?uri=CELEX:32000L0014)",,Ministerie van Infrastructuur en Milieu (IenM),"* Beoordelen of de verklaring van de fabrikant van materieel voor gebruik buitenshuis (zoals onder meer grondverzetmaterieel, mobiele kranen, wegenbouw-machines, grasmaaiers en energieaggregaten voldoet aan de overeenstemmingbeoordelingspro¬cedures.
 
 * Afgeven van een certificaat aan de fabrikant.",Nee,,,2004,Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.,,,,,,,onbekend,Privaatrechtelijk - Stichting,Cluster van ZBO's,01/09/16
Keuringsinstanties Infrastructuur & Milieu overig,,,,,,,,,,,"Besluit elektromagnetische compabiliteit, Stb. 1995, 387 en Spoorwegwet, art. 93, Stb. 2003, 264",[Spoorwegwet](http://wetten.overheid.nl/BWBR0015007/),,Ministerie van Infrastructuur en Milieu (IenM),,Nee,,,1988,Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.,,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,14/08/15
Keuringsinstanties pleziervaartuigen,,,,,,,,,,,"Wet pleziervaartuigen, art. 8, lid 1, Stb. 1996, 605, en EG-richtlijn 94/25/EG",[Wet pleziervaartuigen](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=WET%20PLEZIERVAARTUIGEN/article=8),,Ministerie van Infrastructuur en Milieu (IenM),Pleziervaartuigen dienen te worden voorzien van een certificering voordat ze kunnen worden toegelaten. Voor een deel van de procedures is een (type)keuring door keuringsinstanties verplicht.,Nee,,,1997,Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.,,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,21/09/15
Keuringsinstanties uitrusting zeeschepen,,,,,,,,,,,"Wet scheepsuitrusting, Stb. 2000, 192, art. 4",[Wet scheepsuitrusting](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Wet%20scheepsuitrusting/article=4),,Ministerie van Infrastructuur en Milieu (IenM),Keuren en certificeren van scheepsuitrustingen,Nee,,,2000,Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.,,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,14/08/15
"Keuringsinstanties Volksgezondheid, Welzijn en Sport",,,,,,,,,,,"Warenwet, art. 7",[Warenwet](http://www.wetten.overheid.nl/BWBR0001969/),,"Ministerie van Volksgezondheid, Welzijn en Sport (VWS)",Het uitvoeren van verschillende werkzaamheden in het kader van keurigs- en beoordelingsprocedures omschreven in de Warenwet.,Nee,,,1970,Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.,,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,17/12/15
Kiesraad,,Postbus 20011,2500 EA,Den Haag,Herengracht 21,2511 EG,Den Haag,070 4266266,kiesraad@kiesraad.nl,http://www.kiesraad.nl/,"Kieswet 1951, imiddels vervangen door de Kieswet van 28 september 1989(Staatsblad 1989 nummer 423), laatstelijk gewijzigd bij wet van 13 december 2010(Staatsblad 2011, nummer 4).",[Kieswet](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=kieswet/article=A%201),,Ministerie van Binnenlandse Zaken en Koninkrijksrelaties (BZK),"* Adviseren van de regering en de beide Kamers der Staten-Generaal in uitvoeringstechnische aangelegenheden die het kiesrecht of de verkiezingen betreffen (artikel A 2 Kieswet)
 
 * Optreden als centraal stembureau voor de verkiezingen van de leden van:<br />a. de Tweede Kamer (artikel E II, tweede lid, Kieswet); <br />b. de Eerste Kamer (artikel S I, eerste lid, Kieswet); <br />c. het Europees Parlement (artikel Y 9, eerste lid, Kieswet).",Ja,"12,21,22","Leden van de Kiesraad worden door de Kroon benoemd. Met het oog op de onafhankelijke positie van de Kiesraad, is het niet wenselijk dat de minister beleidsregels kan vaststellen en door de Kiesraad genomen besluiten kan vernietigen.",1951,De raad heeft 7 bestuursleden,16,(2014-12-31),CAO Rijk,ABP,,,onbekend,Publiekrechtelijk - Onderdeel Staat der Nederlanden,Afzonderlijke ZBO,18/07/16
Klassebureaus Scheepvaart,,,,,,,,,,,"Schepenbesluit, Stb. 1965, 369 en Besluit houdende erkenning van particuliere onderzoeksbureaus bedoeld in het Schepenbesluit 1965, Stb. 1984, 65",[Schepenbesluit 1965](http://wetten.overheid.nl/cgi-bin/deeplink/law1/title=Schepenbesluit%201965),,Ministerie van Infrastructuur en Milieu (IenM),Certificeren van zeeschepen,Nee,,,1984,Dit is een cluster van zbo s die niet onder de werking van de kaderwet zelfstandige bestuursorganen valt. De onderliggende onderdelen van dit cluster worden daarom niet in dit register benoemd.,,,,,,,onbekend,Privaatrechtelijk - Overig,Cluster van ZBO's,14/08/15
